Company,Position
"
SmartDataSolution
","
JavaDeveloper(AccountManagem…
"
"
DiagonalTechnologies
","
FrontendDeveloper(React/Typ…
"
"
DiagonalTechnologies
","
Full-StackJavascriptDeveloper…
"
"
DzangoTechnologiesLimited
","
Vue.jsfullstackdeveloper
"
"
SmartDataSolution
","
HRSpecialist
"
"
WhiteHatEngineeringInc.
","
Accountant
"
"
CedarGateServices
","
HelpDeskEngineer
"
"
LogpointNepal
","
AssociateSecurityEngineer
"
"
LogpointNepal
","
SeniorDevOpsEngineer
"
"
UBASolutions
","
QAAutomation
"
"
UBASolutions
","
SeniorSoftwareEngineer(NodeJ…
"
"
PremiumTechnology
","
DotNetDeveloper
"
"
WhiteHatEngineeringInc.
","
SeniorSoftwareEngineer
"
"
Daraz
","
GraphicDesigner
"
"
Digiconnect
","
.NetDeveloper-MVC/C#/SQLSer…
"
"
Digiconnect
","
FullStackJavaDeveloper
"
"
Digiconnect
","
PHPFullStackDeveloper
"
"
Digiconnect
","
SoftwareDeveloper-Trainee
"
"
Digiconnect
","
Governance,Risk,andComplianc…
"
"
UltraTendencyNepalPvt.Ltd.
","
ProfessionalSoftwareDeveloper
"
"
CedarGateServices
","
DataEngineer
"
"
CedarGateServices
","
SoftwareEngineer(.Net)
"
"
CedarGateServices
","
ComplianceEngineer
"
"
Aayulogic
","
FullStackDeveloper
"
"
Aayulogic
","
QualityAssurance/QualityCon…
"
"
Aayulogic
","
Systems&NetworkAdministrator
"
"
Aayulogic
","
DevOpsEngineer
"
"
Aayulogic
","
ClientRelationshipOfficer
"
"
SoftwaricaCollege
","
Lecturer/TeachingFaculty
"
"
DzangoTechnologiesLimited
","
ReactDeveloper(Fullstackdev…
"
"
ExecutiveSearch-merojob
","
ManagerITSolution&Procureme…
"
"
DiagonalTechnologies
","
WebDeveloper-PHP
"
"
VeriskNepal
","
DBA-SQL
"
"
VeriskNepal
","
.NetDeveloper
"
"
VeriskNepal
","
QAAutomationEngineer
"
"
VeriskNepal
","
AWSDevOps/LinuxAdmin
"
"
VeriskNepal
","
PythonDeveloper
"
"
VeriskNepal
","
ReactDeveloper
"
"
VeriskNepal
","
QAEngineer
"
"
VeriskNepal
","
ETLDeveloper
"
"
EkaDeskoPrivateLimited
","
SenioriOSDeveloper
"
"
SKTechnology
","
ReactDeveloper
"
"
SKTechnology
","
SoftwareDeveloper
"
"
SunBi
","
DotNetDeveloper
"
"
HitachiEnergy
","
BusinessAnalyst
"
"
HitachiEnergy
","
SeniorSoftwareEngineer
"
"
HitachiEnergy
","
SoftwareEngineer
"
"
HitachiEnergy
","
SystemAdministrator
"
"
HitachiEnergy
","
SoftwareQualityTestEngineer
"
"
HitachiEnergy
","
AssociateSoftwareQualityTest…
"
"
WhiteHatEngineeringInc.
","
SoftwareTestEngineer
"
"
SeeLogicInternational
","
SoftwareDeveloper
"
"
GOFAInternational
","
SEOSpecialist
"
"
P.S.ConstructionCompany
","
ComputerOperator
"
"
EBPearls
","
DotNetDeveloper
"
"
EBPearls
","
BusinessAnalyst
"
"
EBPearls
","
WordpressDeveloper
"
"
EBPearls
","
Trainee
"
"
StudioMatrix
","
FrontendDeveloper
"
"
DishMediaNetwork
","
TechnicalSupport-ISP
"
"
SanjeevaniImagingHousePvt.Ltd.
","
ITOfficer
"
"
EBPearls
","
IOSDeveloper
"
"
EBPearls
","
FlutterDeveloper
"
"
EBPearls
","
AndroidDeveloper
"
"
EBPearls
","
Node.jsDeveloper
"
"
ITConnectPvtLtd
","
CustomerServiceExecutive
"
"
AvishkaramTechnologies
","
SoftwareEngineer
"
"
NepalGasUdhyog
","
ITExecutive
"
"
TechOneGlobal
","
AssistantVicePresident-Micr…
"
"
ANTS
","
QA/SupportOfficer
"
"
ANTS
","
C#Interns
"
"
ANTS
","
C#Developers
"
"
HiUpSolutions
","
FullstackDeveloper(Node.Js/T…
"
"
PlanetEarthSolutions
","
.NetDeveloper
"
"
PlanetEarthSolutions
","
Java/Flutter
"
"
PlanetEarthSolutions
","
TechnicalSupportExecutive/Ma…
"
"
ThakurInternational
","
MobileAppDeveloper
"
"
LittleAngelsCollegeofManagement(LACM)
","
ComputerandIT(FulltimeFacult…
"
"
ExecutiveSearch-merojob
","
DataCenterExecutive
"
"
ExecutiveSearch-merojob
","
Executive/Sr.Executive-ITSupp…
"
"
HLENepal
","
SeniorSoftwareEngineer
"
"
SumeruSecurities
","
SeniorDotnetDeveloper
"
"
SumeruSecurities
","
DotnetDeveloper
"
"
ExecutiveSearch-merojob
","
ManagementTrainee
"
"
AsteriskHubsPvt.Ltd.
","
FlutterDeveloper
"
"
AccessKeys
","
PaidInterns(ContentWriter)
"
"
AccessKeys
","
PaidInterns-WordPress
"
"
MaxDigitalTV
","
RegionalTechnicalManager
"
"
AltigenCommunicationsInc.
","
SeniorFront-EndEngineer
"
"
SoftechFoundation
","
DotNetProgrammer
"
"
BitweltSoftware
","
Javascript/ReactJSDeveloper
"
"
BitweltSoftware
","
FreelanceReactJSDeveloper
"
"
RightFindProfessionals
","
JavaDeveloper
"
"
E-SignaturePvt.Ltd.
","
ReactNativeDeveloper
"
"
SoftwaresNepal
","
PHPLaravelDeveloper
"
"
SoftwaresNepal
","
UI/UXDeveloper
"
"
SoftwaresNepal
","
Node.jsDeveloper
"
"
AppHaruPvt.Ltd.
","
wordpress
"
"
MeroDigital
","
FrontendDevelopers
"
